,Basophils,Bcells,CD4,CD8,Colony,Common myeloid progenitor,Eosinophill,Erythroid,Granulocyte,Hematopoietic stem cell,Mature NK,Megakaryocyte,Monocyte,Myeloid Dendritic Cell,Plasmacytoid Dendritic Cell
GSM609819,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609820,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609821,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GSM609822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609823,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609824,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609826,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609827,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609828,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609829,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609830,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609832,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609833,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609834,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609835,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609837,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609839,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609840,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609841,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GSM609842,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
